temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,shortwave_radiation_sum,cloudcover_mean,sunshine_duration,date,city,season
4.0,7.1,0.1,0.0,6.3,6.18,7,30686.13,2015-01-01,Zurich,Winter
6.4,11.9,0.8,0.0,10.5,5.95,71,25552.94,2015-01-02,Zurich,Winter
9.4,12.7,7.5,0.0,12.3,5.5,56,28179.38,2015-01-03,Zurich,Winter
7.6,12.1,2.7,0.0,13.0,6.24,13,30869.75,2015-01-04,Zurich,Winter
6.7,10.3,2.2,0.0,12.2,6.63,6,30941.12,2015-01-05,Zurich,Winter
7.7,11.1,4.2,0.0,9.5,6.48,13,31017.3,2015-01-06,Zurich,Winter
5.0,8.5,1.1,0.0,6.7,6.56,33,31098.13,2015-01-07,Zurich,Winter
6.4,9.4,1.3,0.0,9.6,6.3,22,29255.09,2015-01-08,Zurich,Winter
8.9,11.2,6.8,0.0,10.1,5.07,74,31273.01,2015-01-09,Zurich,Winter
12.1,16.3,7.9,0.0,10.8,5.78,66,30226.12,2015-01-10,Zurich,Winter
8.0,11.7,4.3,0.1,14.6,6.71,20,31043.71,2015-01-11,Zurich,Winter
7.7,11.1,5.2,0.0,10.8,7.03,10,31565.88,2015-01-12,Zurich,Winter
6.8,8.5,5.8,0.6,5.6,3.85,50,22482.94,2015-01-13,Zurich,Winter
6.4,7.4,5.3,2.2,6.6,1.96,79,6695.58,2015-01-14,Zurich,Winter
5.5,7.5,1.1,2.6,8.2,2.08,77,9028.2,2015-01-15,Zurich,Winter
6.2,6.8,5.1,43.5,6.2,0.92,100,0.0,2015-01-16,Zurich,Winter
5.1,6.4,3.2,41.8,6.4,1.35,98,1217.23,2015-01-17,Zurich,Winter
4.2,6.6,-0.0,2.2,6.9,5.84,59,27389.15,2015-01-18,Zurich,Winter
3.1,6.1,-1.3,0.0,8.0,5.64,84,24837.21,2015-01-19,Zurich,Winter
3.6,5.3,2.5,2.3,6.6,3.18,86,13291.44,2015-01-20,Zurich,Winter
1.3,3.3,-2.9,14.7,8.0,1.56,90,0.0,2015-01-21,Zurich,Winter
4.1,6.5,1.3,11.2,6.2,3.3,98,8976.71,2015-01-22,Zurich,Winter
2.1,6.8,-1.0,0.0,13.1,8.03,30,32261.48,2015-01-23,Zurich,Winter
2.3,5.9,-1.0,0.0,11.9,8.12,19,32317.85,2015-01-24,Zurich,Winter
0.9,5.1,-2.0,0.0,15.2,8.52,6,32376.64,2015-01-25,Zurich,Winter
1.6,5.4,-2.8,0.0,8.8,7.89,57,32400.0,2015-01-26,Zurich,Winter
4.5,6.6,2.8,0.0,11.0,7.93,36,32400.0,2015-01-27,Zurich,Winter
4.7,6.5,3.5,0.0,9.0,8.07,62,32400.0,2015-01-28,Zurich,Winter
2.7,4.0,1.1,2.3,7.1,5.13,98,24633.97,2015-01-29,Zurich,Winter
2.6,4.8,0.5,4.3,9.2,8.22,79,32400.0,2015-01-30,Zurich,Winter
3.4,5.3,0.6,0.0,7.9,8.4,59,31862.93,2015-01-31,Zurich,Winter
2.7,5.4,-3.2,0.0,8.7,9.39,37,32416.65,2015-02-01,Zurich,Winter
2.6,5.6,-1.1,0.0,9.1,9.71,38,32736.61,2015-02-02,Zurich,Winter
1.5,3.2,-0.9,0.0,8.6,4.11,98,4271.0,2015-02-03,Zurich,Winter
2.9,5.9,-0.5,0.3,7.0,5.3,100,9556.81,2015-02-04,Zurich,Winter
2.4,3.7,1.4,16.0,6.0,1.97,100,0.0,2015-02-05,Zurich,Winter
